timestamp_ns,busv,current,power,soc,hall_speed,int_r,v_unloaded,drain_time,max_time
1779638330666443332,12.276,1.615,74.825,73.04520552005869,20.352500000000003,43.04498266098575,12.360904110401174,1.7796400878899377e+18,1.779637662896619e+18
1779638331066932396,12.284,1.5825,228.325,73.06940580469794,20.352500000000003,43.06411940140863,12.36138811609396,1.7796400828381e+18,1.779637665552302e+18
1779638331467572573,11.876,11.6,696.775,73.12999472117356,20.247500000000002,43.08239755095295,12.362599894423472,1.7796400878636636e+18,1.7796376645055178e+18
1779638332068663324,10.86,34.7,487.975,73.13128901919254,20.247500000000002,43.12787910757618,12.362625780383851,1.7796401032320223e+18,1.77963765959732e+18
1779638332469377443,10.844,35.0675,1489.175,73.1594787265057,20.439999999999998,43.17585937761543,12.363189574530114,1.7796401311426537e+18,1.7796376500330657e+18
1779638332870117339,12.124,3.4175,1267.8,72.80260600507934,20.685000000000002,42.93954235707794,12.356052120101587,1.7796400896931738e+18,1.7796376659222098e+18
1779638333270968823,12.008,7.6475,592.2,72.6151983561177,20.3875,42.817870122428545,12.352303967122355,1.779640024638692e+18,1.779637690421647e+18
1779638333671243190,11.7,12.1475,168.85,72.17634676656006,19.985,42.68307480955124,12.343526935331202,1.7796399322020058e+18,1.7796377247186465e+18
1779638334072077748,12.256,1.4625,515.275,71.9744175376502,20.02,42.607347053869404,12.339488350753005,1.7796398464776458e+18,1.7796377564068588e+18
1779638334472842481,12.276,1.4975,1572.475,71.98266617268762,19.635,42.574298254903276,12.339653323453753,1.7796397994821944e+18,1.7796377736908803e+18
1779638335274297397,12.16,4.7675,1367.975,72.11179498349063,19.372500000000002,42.64644938036891,12.342235899669813,1.779639801183781e+18,1.7796377728851492e+18
1779638335674992259,12.284,1.5675,897.925,72.14102104560078,19.005,42.66764930503897,12.342820420912016,1.7796398387951606e+18,1.7796377586128417e+18
1779638336075618768,12.24,2.8325,1101.825,72.19449922625296,18.9525,42.703217359980165,12.34388998452506,1.7796399128780782e+18,1.779637730636952e+18
1779638336476075721,12.2,3.8175,85.7,72.19401416523476,18.6375,42.70231096312771,12.343880283304696,1.779639971906905e+18,1.7796377083079882e+18
1779638336876884296,12.212,3.4675,261.525,72.17659739632579,18.41,42.69219802536514,12.343531947926516,1.7796400722937137e+18,1.7796376703115533e+18
1779638337277196143,12.032,7.8825,798.1,72.11746049321776,18.41,42.63897244812608,12.342349209864356,1.7796402176922788e+18,1.7796376151669315e+18
1779638337677432784,11.772,14.5175,797.2,72.07026844826476,18.27,42.51955059075955,12.341405368965296,1.779640417991536e+18,1.7796375390841713e+18
1779638338077963914,11.4,23.2825,794.45,71.92789044229391,18.2,42.2716447583038,12.338557808845879,1.7796406759157542e+18,1.7796374408166518e+18
1779638338478290625,11.196,26.915,786.05,71.76073883556978,18.2,42.226186530901515,12.335214776711396,1.7796409369872266e+18,1.7796373407711946e+18
1779638338878491122,11.22,25.9,760.425,71.78950188717667,18.3925,42.429173300824516,12.335790037743534,1.779641027946343e+18,1.7796373053069873e+18
1779638339278797755,11.38,21.7,682.225,71.77288841427838,18.5675,42.51020771518941,12.335457768285568,1.7796409389187963e+18,1.7796373383666194e+18
1779638339879323175,12.136,3.3125,443.575,71.57742446382514,18.6725,42.38317256582834,12.331548489276503,1.7796407117151793e+18,1.7796374239811377e+18
1779638340279588622,12.272,1.665,854.25,71.59084397502163,18.375,42.31675481502352,12.331816879500433,1.7796405464210186e+18,1.779637486279443e+18
1779638340679925990,12.296,1.5475,968.625,71.8761884625997,18.147499999999997,42.55697288395509,12.337523769251995,1.7796404808465162e+18,1.7796375110637353e+18
1779638341080196515,12.304,1.5475,1317.6,72.02141680198517,17.6925,42.67873013776205,12.340428336039704,1.7796405126567777e+18,1.7796374988283753e+18
1779638342080979332,12.304,1.78,744.175,72.14280056527124,17.6925,42.77907201031075,12.342856011305425,1.779640581767379e+18,1.7796374725281654e+18
1779638342481386361,12.3,1.9825,632.625,72.25611330048966,17.325,42.87103466554007,12.345122266009794,1.7796407024608855e+18,1.7796374266320376e+18
1779638342881666933,12.328,1.5325,292.2,72.37108096427248,16.8875,43.02182483614512,12.34742161928545,1.77964089129269e+18,1.7796373548059525e+18
1779638343282061144,12.332,1.5325,891.7,72.54854764793821,16.52,43.22700232139257,12.350970952958765,1.7796411768682296e+18,1.7796372462540285e+18
1779638343682268081,12.336,1.4975,1082.85,72.74139166521047,16.52,43.536970386146365,12.35482783330421,1.7796416534376773e+18,1.7796370650428733e+18
1779638344082508332,12.344,1.5975,27.775,73.15120584375609,16.24,43.89855085613379,12.363024116875122,1.7796427151488643e+18,1.779636661355359e+18
1779638344482868372,12.348,1.5675,84.75,73.34986356529578,16.310000000000002,44.05166812192264,12.366997271305916,1.7796451958443694e+18,1.7796357177325128e+18
1779638344883474275,12.356,1.5325,258.625,73.63903841514387,16.310000000000002,43.77909341695556,12.372780768302878,1.7796597216658143e+18,1.7796301905449523e+18
1779638345283844996,12.192,4.8325,789.25,73.86726582900644,16.695,43.965460396179864,12.37734531658013,1.779622366793772e+18,1.7796444057048978e+18
1779638345684003384,11.58,19.3175,770.175,73.9596833970821,17.272499999999997,43.73864976245095,12.379193667941642,1.779632365561695e+18,1.7796406009771942e+18
1779638346084341245,11.308,25.6,711.975,73.92588346096369,17.272499999999997,43.36334108831717,12.378517669219274,1.7796342905365788e+18,1.7796398680977797e+18
1779638346484660055,10.996,32.9,534.375,73.9229301635996,17.8675,43.05505033666524,12.378458603271993,1.7796349509751503e+18,1.7796396157335675e+18
1779638346885169119,11.04,30.2825,1630.775,74.0253907509775,18.4275,43.3203142345942,12.38050781501955,1.7796353348179487e+18,1.779639468516585e+18
1779638347285348498,11.268,24.265,187.75,74.09359603773646,18.9875,43.60514623256422,12.38187192075473,1.77963569497907e+18,1.779639330956432e+18
1779638348086916361,12.236,1.5975,572.95,73.87646027150456,19.127499999999998,43.42296652207704,12.377529205430092,1.7796359192743826e+18,1.779639245377932e+18
1779638348487510725,12.268,1.5475,110.1,73.7340294245528,18.9875,43.30559433165515,12.374680588491056,1.7796360728756122e+18,1.7796391868598735e+18
1779638348888221814,12.284,1.5975,335.975,73.62606620106469,18.9875,43.280776362348476,12.372521324021294,1.7796362328724483e+18,1.779639126414074e+18
1779638349288825500,12.296,1.5325,1025.3,73.59393152033968,18.9875,43.40328447364345,12.371878630406794,1.7796363943821798e+18,1.779639065698512e+18
1779638349689108081,12.3,1.5325,1490.55,73.57317055501626,18.8125,43.34387120967806,12.371463411100326,1.7796365536414088e+18,1.7796390060703337e+18
1779638350089974937,12.316,1.5175,1271.975,73.58685655846963,18.655,43.17312598800805,12.371737131169393,1.779636745832758e+18,1.779638934435599e+18
1779638351091857097,12.332,1.4975,634.0,73.65523302871075,18.4275,42.90344744319205,12.373104660574215,1.7796369077010522e+18,1.7796388742039754e+18
1779638351492234800,12.34,1.5325,296.4,73.97430251400827,18.305,43.09410020022193,12.379486050280166,1.7796370911065178e+18,1.7796388059397105e+18
