timestamp_ns,busv,current,power,hall_speed
1778785002351920755,12.928,1.9825,592.2,0.0
1778785002752109738,12.932,1.9475,168.85,0.0
1778785003152444398,12.924,2.0175,515.275,0.0
1778785003552759039,12.924,1.9975,1572.475,0.0
1778785003953565915,12.928,2.0175,1522.0,0.0
1778785004353930401,12.928,1.9825,1367.975,0.0
1778785004754652426,12.932,2.115,897.925,0.0
1778785005155396111,12.932,2.0475,1101.825,0.0
1778785005555864675,12.936,2.0175,85.7,0.0
1778785005956368055,12.924,1.9825,261.525,0.0
1778785006356447681,12.932,2.0325,798.1,0.0
1778785006756606818,12.928,2.15,797.2,0.0
1778785007157034454,12.924,1.9975,794.45,0.0
1778785007557768681,12.928,1.9475,786.05,0.0
1778785007958406476,12.924,2.0475,760.425,0.0
1778785008359073005,12.924,2.18,682.225,0.0
1778785008759703936,12.92,2.0825,443.575,0.0
1778785009159652344,12.924,1.8975,1353.675,0.0
1778785009560713982,12.916,2.0475,854.275,0.0
1778785009961178867,12.92,2.0325,968.625,0.0
1778785010361922193,12.92,1.9825,1317.6,0.0
1778785010762402440,12.924,1.8975,744.175,0.0
1778785011162575733,12.852,3.165,632.625,0.0
1778785011563249355,11.424,27.35,292.2,3.3249999999999997
1778785011963540682,11.54,25.6,891.7,3.3249999999999997
1778785012364251887,11.276,30.4475,1082.85,3.3249999999999997
1778785012765001343,11.2,32.1975,27.775,7.3500000000000005
1778785013165601876,11.068,35.2325,84.75,7.3500000000000005
1778785013566189557,11.028,34.85,258.625,7.3500000000000005
1778785013967238861,10.896,38.0325,789.25,10.045
1778785014367295202,10.892,36.55,770.175,10.045
1778785014767801307,10.924,36.9325,711.975,10.9725
1778785015168308002,10.752,39.535,534.375,11.76
1778785015568439707,10.748,38.7825,1630.775,11.76
1778785016369309548,10.672,39.3825,187.75,12.5475
1778785016769589003,10.564,40.865,572.95,13.2125
1778785017170289706,10.688,37.65,110.1,13.2125
1778785017571011610,10.616,38.9,335.975,13.93
1778785017971400091,10.66,37.7975,1025.3,14.525000000000002
1778785018371876339,10.628,37.115,1490.55,15.120000000000001
1778785018771961706,10.744,34.78,1271.975,15.120000000000001
1778785019172095334,10.744,34.5825,604.95,15.61
1778785019572567964,11.148,25.415,207.75,16.135
1778785019973045975,10.976,28.6325,634.0,16.135
1778785020373172668,10.968,28.815,296.4,16.52
1778785020773631582,10.956,28.5175,904.525,16.8
1778785021173860439,10.904,29.4975,1121.975,17.08
1778785021574350274,10.952,28.4325,147.175,17.36
1778785021974715671,12.132,3.15,449.125,17.36
1778785022375161111,12.104,3.9475,1370.6,17.395
1778785022775790351,12.116,3.9825,905.925,17.22
1778785023176423676,11.84,9.165,1126.25,17.045
1778785023576906507,12.176,2.8825,160.225,17.045
1778785023977544261,12.152,3.2825,488.95,16.8875
1778785024377814368,12.152,3.9175,1492.15,16.6775
1778785024778289514,12.164,3.4325,1276.875,16.6775
1778785025178973115,11.16,24.58,619.9,16.5725
1778785025579437091,10.02,50.1,253.375,16.59
1778785025980049897,10.06,48.715,773.225,17.08
1778785026380640572,10.048,49.15,721.275,17.622500000000002
1778785026781391601,10.092,49.25,562.75,17.622500000000002
1778785027182048984,10.08,48.95,78.975,18.1825
1778785027582250230,10.108,47.6825,241.0,18.689999999999998
